# Custom right-half axisymmetric profile in MILLIMETRES.
# (here demonstrated with the sphere generator output for reference)
x_mm,z_mm
0.000000,-0.220000
0.025000,-0.220000
0.025000,-0.043301
0.026421,-0.042449
0.027813,-0.041550
0.029174,-0.040606
0.030504,-0.039617
0.031800,-0.038585
0.033061,-0.037510
0.034285,-0.036394
0.035472,-0.035238
0.036620,-0.034043
0.037728,-0.032811
0.038795,-0.031543
0.039818,-0.030241
0.040799,-0.028905
0.041734,-0.027537
0.042623,-0.026139
0.043466,-0.024712
0.044261,-0.023259
0.045007,-0.021779
0.045704,-0.020276
0.046351,-0.018751
0.046947,-0.017205
0.047491,-0.015640
0.047983,-0.014058
0.048423,-0.012460
0.048809,-0.010849
0.049141,-0.009226
0.049420,-0.007593
0.049645,-0.005951
0.049815,-0.004303
0.049930,-0.002650
0.049990,-0.000994
0.049996,0.000663
0.049946,0.002319
0.049842,0.003973
0.049683,0.005622
0.049469,0.007265
0.049202,0.008900
0.048880,0.010525
0.048504,0.012139
0.048075,0.013739
0.047594,0.015325
0.047060,0.016893
0.046474,0.018443
0.045838,0.019973
0.045151,0.021481
0.044414,0.022965
0.043629,0.024424
0.042796,0.025856
0.041915,0.027260
0.040989,0.028634
0.040018,0.029976
0.039003,0.031285
0.037945,0.032561
0.036845,0.033800
0.035705,0.035002
0.034526,0.036166
0.033309,0.037290
0.032055,0.038373
0.030766,0.039414
0.029443,0.040412
0.028088,0.041365
0.026702,0.042273
0.025286,0.043135
0.023843,0.043949
0.022374,0.044715
0.020880,0.045431
0.019364,0.046098
0.017826,0.046715
0.016268,0.047280
0.014693,0.047793
0.013101,0.048253
0.011495,0.048661
0.009876,0.049015
0.008247,0.049315
0.006608,0.049561
0.004963,0.049753
0.003311,0.049890
0.001657,0.049973
0.000000,0.050000
