x_um,z_um
-4150.000000,39000.000000
-4150.000000,38900.000000
-4150.000000,38800.000000
-4150.000000,38700.000000
-4150.000000,38600.000000
-4150.000000,38500.000000
-4150.000000,38400.000000
-4150.000000,38300.000000
-4150.000000,38200.000000
-4150.000000,38100.000000
-4150.000000,38000.000000
-4050.000000,38000.000000
-3950.000000,38000.000000
-3950.000000,37900.000000
-3950.000000,37800.000000
-3950.000000,37700.000000
-3950.000000,37600.000000
-3950.000000,37500.000000
-3950.000000,37400.000000
-3950.000000,37300.000000
-3950.000000,37200.000000
-3950.000000,37100.000000
-3950.000000,37000.000000
-3950.000000,36900.000000
-3950.000000,36800.000000
-3950.000000,36700.000000
-3950.000000,36600.000000
-3950.000000,36500.000000
-3950.000000,36400.000000
-3950.000000,36300.000000
-3950.000000,36200.000000
-3950.000000,36100.000000
-3950.000000,36000.000000
-3950.000000,35900.000000
-3950.000000,35800.000000
-3950.000000,35700.000000
-3950.000000,35600.000000
-3950.000000,35500.000000
-3950.000000,35400.000000
-3950.000000,35300.000000
-3950.000000,35200.000000
-3950.000000,35100.000000
-3950.000000,35000.000000
-3950.000000,34900.000000
-3950.000000,34800.000000
-3950.000000,34700.000000
-3950.000000,34600.000000
-3950.000000,34500.000000
-3950.000000,34400.000000
-3950.000000,34300.000000
-3950.000000,34200.000000
-3950.000000,34100.000000
-3950.000000,34000.000000
-3950.000000,33900.000000
-3950.000000,33800.000000
-3950.000000,33700.000000
-3950.000000,33600.000000
-3950.000000,33500.000000
-3950.000000,33400.000000
-3950.000000,33300.000000
-3950.000000,33200.000000
-3950.000000,33100.000000
-3950.000000,33000.000000
-3950.000000,32900.000000
-3950.000000,32800.000000
-3950.000000,32700.000000
-3950.000000,32600.000000
-3950.000000,32500.000000
-4035.583074,32500.000000
-4121.166148,32500.000000
-4132.878317,32409.090909
-4144.590485,32318.181818
-4156.302653,32227.272727
-4168.014822,32136.363636
-4179.726990,32045.454545
-4191.439158,31954.545455
-4203.151327,31863.636364
-4214.863495,31772.727273
-4226.575663,31681.818182
-4238.287832,31590.909091
-4250.000000,31500.000000
-4262.703748,31400.960848
-4275.297609,31301.907664
