x_um,z_um
0.000000,0.000000
4726.652009,0.000000
4709.170306,250.000000
4608.926116,250.000000
4575.113628,733.541106
4541.301140,1217.082212
4507.488652,1700.623317
4473.676164,2184.164423
4439.863676,2667.705529
4406.051188,3151.246635
4372.238700,3634.787741
4338.426212,4118.328846
4304.613724,4601.869952
4270.801236,5085.411058
4236.988748,5568.952164
4203.176260,6052.493270
4169.363772,6536.034375
4135.551284,7019.575481
4101.738796,7503.116587
4067.926308,7986.657693
4184.918105,7994.838556
4217.459053,8247.419278
4250.000000,8500.000000
4262.837658,8600.087778
4663.577368,8492.709896
5064.317078,8385.332015
5071.880279,8818.627539
5079.443481,9251.923063
4881.273359,9667.887524
4683.103237,10083.851985
4484.933115,10499.816447
4530.263392,10937.022114
4573.457874,11374.443955
4614.515531,11812.071534
5018.851432,11719.147889
5423.187333,11626.224244
5415.191996,12059.512009
5407.196659,12492.799775
5194.222709,12901.382602
4981.248759,13309.965429
4768.274808,13718.548256
4797.881848,14157.099340
4825.346709,14595.789790
4850.668736,15034.609144
5258.079658,14956.259509
5665.490580,14877.909874
5641.947011,15310.631394
5618.403442,15743.352913
5390.900176,16144.027462
5163.396910,16544.702011
4935.893645,16945.376561
4949.739285,17384.707789
4961.439124,17824.101398
4970.992884,18263.546907
5380.953693,18199.872271
5790.914503,18136.197636
5751.853048,18567.795152
5712.791592,18999.392668
5471.052252,19391.642489
5229.312912,19783.892309
4987.573572,20176.142130
4985.639966,20615.687225
4981.559703,21055.217635
4975.332881,21494.722876
5387.315158,21445.805313
5799.297435,21396.887751
5744.768442,21826.804955
5690.239449,22256.722159
5434.575625,22640.041659
5178.911801,23023.361160
4923.247978,23406.680660
4905.537618,23845.873070
4885.682512,24284.973747
4863.683133,24723.972217
5277.155852,24689.874781
5690.628571,24655.777344
5620.702326,25083.460093
5550.776080,25511.142841
5281.517311,25885.037941
5012.258543,26258.933041
4742.999774,26632.828140
4705.615557,27120.665087
4665.579873,27608.291594
4622.893905,28095.693251
4577.558914,28582.855652
4529.576241,29069.764401
4478.947302,29556.405107
4425.673596,30042.763389
4369.756695,30528.824874
4311.198253,31014.575196
4250.000000,31500.000000
4207.055383,31833.333333
4164.110766,32166.666667
4121.166148,32500.000000
3950.000000,32500.000000
3950.000000,33000.000000
3950.000000,33500.000000
3950.000000,34000.000000
3950.000000,34500.000000
3950.000000,35000.000000
3950.000000,35500.000000
3950.000000,36000.000000
3950.000000,36500.000000
3950.000000,37000.000000
3950.000000,37500.000000
3950.000000,38000.000000
4150.000000,38000.000000
4150.000000,38500.000000
4150.000000,39000.000000
0.000000,39000.000000
