x_um,z_um
0.000000,0.000000
98.809842,0.000000
197.619684,0.000000
296.429526,0.000000
395.239368,0.000000
494.049211,0.000000
592.859053,0.000000
691.668895,0.000000
790.478737,0.000000
889.288579,0.000000
988.098421,0.000000
1086.908263,0.000000
1185.718105,0.000000
1284.527947,0.000000
1383.337789,0.000000
1482.147632,0.000000
1580.957474,0.000000
1679.767316,0.000000
1778.577158,0.000000
1877.387000,0.000000
1976.196842,0.000000
2075.006684,0.000000
2173.816526,0.000000
2272.626368,0.000000
2371.436210,0.000000
2470.246053,0.000000
2481.408285,90.909091
2492.570518,181.818182
2503.732751,272.727273
2514.894984,363.636364
2526.057217,454.545455
2537.219449,545.454545
2548.381682,636.363636
2559.543915,727.272727
2570.706148,818.181818
2581.868381,909.090909
2593.030613,1000.000000
2493.274208,1006.975647
2393.517803,1013.951295
2400.439502,1112.936195
2407.361200,1211.921095
2414.282899,1310.905995
2421.204597,1409.890895
2428.126296,1508.875795
2435.047994,1607.860695
2441.969693,1706.845595
2448.891391,1805.830495
2455.813090,1904.815395
2462.734788,2003.800296
2469.656487,2102.785196
2476.578185,2201.770096
2483.499884,2300.754996
2490.421582,2399.739896
2497.343281,2498.724796
2504.264979,2597.709696
2511.186678,2696.694596
2518.108376,2795.679496
2525.030075,2894.664396
2531.951773,2993.649296
2538.873472,3092.634196
2545.795170,3191.619097
2552.716869,3290.603997
2559.638567,3389.588897
2566.560266,3488.573797
2573.481964,3587.558697
2580.403663,3686.543597
2587.325361,3785.528497
2594.247060,3884.513397
2601.168758,3983.498297
2608.090457,4082.483197
2615.012155,4181.468097
2621.933854,4280.452997
2628.855552,4379.437898
2635.777251,4478.422798
2642.698949,4577.407698
2649.620648,4676.392598
2656.542346,4775.377498
2663.464045,4874.362398
2670.385743,4973.347298
2677.307442,5072.332198
2684.229140,5171.317098
2691.150839,5270.301998
2698.072537,5369.286898
2704.994236,5468.271798
2711.915934,5567.256699
2718.837633,5666.241599
2725.759331,5765.226499
2732.681030,5864.211399
2739.602728,5963.196299
2746.524427,6062.181199
2753.446125,6161.166099
2760.367824,6260.150999
2767.289522,6359.135899
2774.211220,6458.120799
2781.132919,6557.105699
2788.054617,6656.090599
2794.976316,6755.075500
2801.898014,6854.060400
2808.819713,6953.045300
2815.741411,7052.030200
2822.663110,7151.015100
2829.584808,7250.000000
2912.240287,7250.000000
2994.895765,7250.000000
3004.450695,7340.909091
3014.005626,7431.818182
3023.560556,7522.727273
3033.115487,7613.636364
