x_um,z_um
0.000000,0.000000
2470.246053,0.000000
2511.174239,333.333333
2552.102426,666.666667
2593.030613,1000.000000
2393.517803,1013.951295
2427.061419,1493.647349
2460.605035,1973.343403
2494.148651,2453.039457
2527.692266,2932.735512
2561.235882,3412.431566
2594.779498,3892.127620
2628.323114,4371.823674
2661.866730,4851.519729
2695.410345,5331.215783
2728.953961,5810.911837
2762.497577,6290.607891
2796.041193,6770.303946
2829.584808,7250.000000
2994.895765,7250.000000
3029.930510,7583.333333
3064.965255,7916.666667
3100.000000,8250.000000
3100.000000,8500.000000
2712.113213,8396.066049
2324.226425,8292.132097
1936.339638,8188.198146
1954.693602,8655.337720
1973.047566,9122.477295
2185.505664,9568.362786
2397.963763,10014.248277
2610.421862,10460.133768
2822.879960,10906.019260
2782.894979,11308.715490
2744.721082,11711.587437
2353.353444,11621.644132
1961.985807,11531.700826
1570.618169,11441.757520
1605.728841,11907.937197
1640.839513,12374.116873
1869.166283,12812.088563
2097.493054,13250.060252
2325.819824,13688.031942
2554.146594,14126.003632
2528.642648,14529.875643
2504.954926,14933.858247
2110.610893,14858.021519
1716.266859,14782.184792
1321.922825,14706.348065
1373.744949,15170.966960
1425.567074,15635.585854
1669.468213,16065.079218
1913.369353,16494.572581
2157.270493,16924.065944
2401.171632,17353.559307
2390.181594,17758.086527
2381.010580,18162.659073
1984.198441,18101.026674
1587.386303,18039.394275
1190.574164,17977.761876
1259.040944,18440.221118
1327.507724,18902.680359
1586.668856,19323.141799
1845.829988,19743.603240
2104.991120,20164.064680
2364.152252,20584.526120
2367.690287,20989.187132
2373.047802,21393.828145
1974.279030,21346.479516
1575.510258,21299.130886
1176.741486,21251.782257
1261.764672,21711.485757
1346.787857,22171.189257
1620.874935,22582.076819
1894.962013,22992.964381
2169.049091,23403.851944
2443.136169,23814.739506
2461.197717,24219.012722
2481.076855,24623.200639
2080.865444,24590.196809
1680.654034,24557.192979
1280.442623,24524.189150
1381.912623,24980.544372
1483.382623,25436.899595
1663.239448,25686.618350
1782.969494,26171.066821
1902.699540,26655.515291
2022.429586,27139.963762
2142.159632,27624.412233
2261.889678,28108.860704
2381.619724,28593.309175
2501.349770,29077.757646
2621.079816,29562.206117
2740.809862,30046.654587
2860.539908,30531.103058
2980.269954,31015.551529
3100.000000,31500.000000
3082.539615,32000.000000
3065.079231,32500.000000
2900.000000,32500.000000
2900.000000,33000.000000
2900.000000,33500.000000
2900.000000,34000.000000
2900.000000,34500.000000
2900.000000,35000.000000
2900.000000,35500.000000
2900.000000,36000.000000
2900.000000,36500.000000
2900.000000,37000.000000
2900.000000,37500.000000
2900.000000,38000.000000
3025.000000,38000.000000
3025.000000,38500.000000
3025.000000,39000.000000
0.000000,39000.000000
